meter_id,is_fraud,fraud_start_date
MTR-00001,False,
MTR-00002,False,
MTR-00003,False,
MTR-00004,False,
MTR-00005,False,
MTR-00006,False,
MTR-00007,False,
MTR-00008,False,
MTR-00009,False,
MTR-00010,False,
MTR-00011,False,
MTR-00012,False,
MTR-00013,False,
MTR-00014,False,
MTR-00015,False,
MTR-00016,False,
MTR-00017,False,
MTR-00018,False,
MTR-00019,False,
MTR-00020,False,
MTR-00021,True,2025-05-19
MTR-00022,False,
MTR-00023,False,
MTR-00024,True,2025-03-16
MTR-00025,False,
MTR-00026,False,
MTR-00027,False,
MTR-00028,False,
MTR-00029,False,
MTR-00030,True,2025-03-28
MTR-00031,False,
MTR-00032,False,
MTR-00033,False,
MTR-00034,False,
MTR-00035,False,
MTR-00036,False,
MTR-00037,False,
MTR-00038,False,
MTR-00039,False,
MTR-00040,False,
MTR-00041,False,
MTR-00042,True,2025-05-03
MTR-00043,False,
MTR-00044,False,
MTR-00045,False,
MTR-00046,True,2025-05-13
MTR-00047,False,
MTR-00048,False,
MTR-00049,True,2025-03-25
MTR-00050,False,
MTR-00051,False,
MTR-00052,False,
MTR-00053,True,2025-05-28
MTR-00054,False,
MTR-00055,False,
MTR-00056,False,
MTR-00057,True,2025-04-11
MTR-00058,False,
MTR-00059,False,
MTR-00060,False,
MTR-00061,False,
MTR-00062,False,
MTR-00063,False,
MTR-00064,False,
MTR-00065,True,2025-04-02
MTR-00066,False,
MTR-00067,False,
MTR-00068,True,2025-03-05
MTR-00069,False,
MTR-00070,False,
MTR-00071,False,
MTR-00072,False,
MTR-00073,False,
MTR-00074,False,
MTR-00075,False,
MTR-00076,False,
MTR-00077,False,
MTR-00078,False,
MTR-00079,False,
MTR-00080,False,
MTR-00081,False,
MTR-00082,False,
MTR-00083,True,2025-03-04
MTR-00084,False,
MTR-00085,False,
MTR-00086,False,
MTR-00087,False,
MTR-00088,False,
MTR-00089,False,
MTR-00090,False,
MTR-00091,False,
MTR-00092,True,2025-04-02
MTR-00093,False,
MTR-00094,False,
MTR-00095,False,
MTR-00096,False,
MTR-00097,False,
MTR-00098,False,
MTR-00099,False,
MTR-00100,True,2025-03-13
MTR-00101,False,
MTR-00102,False,
MTR-00103,False,
MTR-00104,False,
MTR-00105,False,
MTR-00106,False,
MTR-00107,False,
MTR-00108,False,
MTR-00109,False,
MTR-00110,False,
MTR-00111,False,
MTR-00112,False,
MTR-00113,False,
MTR-00114,False,
MTR-00115,False,
MTR-00116,False,
MTR-00117,False,
MTR-00118,False,
MTR-00119,False,
MTR-00120,False,
MTR-00121,False,
MTR-00122,False,
MTR-00123,False,
MTR-00124,False,
MTR-00125,False,
MTR-00126,False,
MTR-00127,False,
MTR-00128,False,
MTR-00129,False,
MTR-00130,False,
MTR-00131,False,
MTR-00132,False,
MTR-00133,False,
MTR-00134,False,
MTR-00135,False,
MTR-00136,False,
MTR-00137,False,
MTR-00138,False,
MTR-00139,False,
MTR-00140,False,
MTR-00141,False,
MTR-00142,False,
MTR-00143,True,2025-04-08
MTR-00144,False,
MTR-00145,False,
MTR-00146,False,
MTR-00147,False,
MTR-00148,False,
MTR-00149,False,
MTR-00150,False,
MTR-00151,False,
MTR-00152,False,
MTR-00153,False,
MTR-00154,False,
MTR-00155,True,2025-04-11
MTR-00156,False,
MTR-00157,False,
MTR-00158,False,
MTR-00159,True,2025-04-18
MTR-00160,False,
MTR-00161,False,
MTR-00162,False,
MTR-00163,False,
MTR-00164,False,
MTR-00165,False,
MTR-00166,False,
MTR-00167,False,
MTR-00168,False,
MTR-00169,False,
MTR-00170,False,
MTR-00171,False,
MTR-00172,False,
MTR-00173,False,
MTR-00174,False,
MTR-00175,False,
MTR-00176,False,
MTR-00177,False,
MTR-00178,False,
MTR-00179,False,
MTR-00180,False,
MTR-00181,False,
MTR-00182,False,
MTR-00183,False,
MTR-00184,False,
MTR-00185,False,
MTR-00186,False,
MTR-00187,True,2025-04-30
MTR-00188,False,
MTR-00189,True,2025-05-04
MTR-00190,False,
MTR-00191,True,2025-03-13
MTR-00192,False,
MTR-00193,False,
MTR-00194,False,
MTR-00195,False,
MTR-00196,False,
MTR-00197,False,
MTR-00198,True,2025-05-21
MTR-00199,False,
MTR-00200,False,
MTR-00201,False,
MTR-00202,False,
MTR-00203,False,
MTR-00204,False,
MTR-00205,False,
MTR-00206,False,
MTR-00207,False,
MTR-00208,False,
MTR-00209,True,2025-04-23
MTR-00210,False,
MTR-00211,True,2025-04-08
MTR-00212,False,
MTR-00213,False,
MTR-00214,False,
MTR-00215,False,
MTR-00216,False,
MTR-00217,False,
MTR-00218,False,
MTR-00219,False,
MTR-00220,False,
MTR-00221,False,
MTR-00222,False,
MTR-00223,False,
MTR-00224,True,2025-03-30
MTR-00225,False,
MTR-00226,False,
MTR-00227,False,
MTR-00228,False,
MTR-00229,False,
MTR-00230,False,
MTR-00231,False,
MTR-00232,False,
MTR-00233,False,
MTR-00234,False,
MTR-00235,True,2025-05-01
MTR-00236,False,
MTR-00237,False,
MTR-00238,False,
MTR-00239,False,
MTR-00240,False,
MTR-00241,False,
MTR-00242,True,2025-03-15
MTR-00243,False,
MTR-00244,True,2025-04-19
MTR-00245,False,
MTR-00246,False,
MTR-00247,True,2025-03-20
MTR-00248,False,
MTR-00249,False,
MTR-00250,False,
MTR-00251,False,
MTR-00252,False,
MTR-00253,False,
MTR-00254,False,
MTR-00255,False,
MTR-00256,False,
MTR-00257,False,
MTR-00258,False,
MTR-00259,False,
MTR-00260,True,2025-05-11
MTR-00261,False,
MTR-00262,False,
MTR-00263,False,
MTR-00264,False,
MTR-00265,False,
MTR-00266,False,
MTR-00267,False,
MTR-00268,False,
MTR-00269,False,
MTR-00270,False,
MTR-00271,False,
MTR-00272,False,
MTR-00273,False,
MTR-00274,False,
MTR-00275,False,
MTR-00276,False,
MTR-00277,True,2025-05-18
MTR-00278,False,
MTR-00279,False,
MTR-00280,False,
MTR-00281,False,
MTR-00282,False,
MTR-00283,False,
MTR-00284,True,2025-03-31
MTR-00285,False,
MTR-00286,False,
MTR-00287,False,
MTR-00288,False,
MTR-00289,False,
MTR-00290,False,
MTR-00291,False,
MTR-00292,True,2025-04-01
MTR-00293,False,
MTR-00294,False,
MTR-00295,False,
MTR-00296,False,
MTR-00297,False,
MTR-00298,False,
MTR-00299,False,
MTR-00300,False,
MTR-00301,False,
MTR-00302,False,
MTR-00303,False,
MTR-00304,False,
MTR-00305,False,
MTR-00306,False,
MTR-00307,False,
MTR-00308,False,
MTR-00309,False,
MTR-00310,False,
MTR-00311,False,
MTR-00312,False,
MTR-00313,False,
MTR-00314,False,
MTR-00315,False,
MTR-00316,True,2025-03-27
MTR-00317,False,
MTR-00318,False,
MTR-00319,False,
MTR-00320,False,
MTR-00321,False,
MTR-00322,False,
MTR-00323,False,
MTR-00324,True,2025-05-06
MTR-00325,False,
MTR-00326,False,
MTR-00327,False,
MTR-00328,False,
MTR-00329,False,
MTR-00330,False,
MTR-00331,False,
MTR-00332,False,
MTR-00333,False,
MTR-00334,False,
MTR-00335,False,
MTR-00336,False,
MTR-00337,False,
MTR-00338,False,
MTR-00339,False,
MTR-00340,False,
MTR-00341,False,
MTR-00342,True,2025-05-06
MTR-00343,False,
MTR-00344,False,
MTR-00345,False,
MTR-00346,False,
MTR-00347,False,
MTR-00348,False,
MTR-00349,False,
MTR-00350,True,2025-03-29
MTR-00351,False,
MTR-00352,False,
MTR-00353,False,
MTR-00354,False,
MTR-00355,False,
MTR-00356,False,
MTR-00357,False,
MTR-00358,False,
MTR-00359,False,
MTR-00360,False,
MTR-00361,False,
MTR-00362,False,
MTR-00363,False,
MTR-00364,False,
MTR-00365,False,
MTR-00366,False,
MTR-00367,False,
MTR-00368,False,
MTR-00369,False,
MTR-00370,False,
MTR-00371,False,
MTR-00372,False,
MTR-00373,False,
MTR-00374,False,
MTR-00375,False,
MTR-00376,False,
MTR-00377,False,
MTR-00378,False,
MTR-00379,False,
MTR-00380,False,
MTR-00381,False,
MTR-00382,False,
MTR-00383,True,2025-05-09
MTR-00384,False,
MTR-00385,False,
MTR-00386,False,
MTR-00387,False,
MTR-00388,False,
MTR-00389,True,2025-03-08
MTR-00390,False,
MTR-00391,False,
MTR-00392,False,
MTR-00393,False,
MTR-00394,True,2025-05-29
MTR-00395,False,
MTR-00396,True,2025-04-05
MTR-00397,False,
MTR-00398,False,
MTR-00399,True,2025-05-22
MTR-00400,False,
MTR-00401,False,
MTR-00402,False,
MTR-00403,False,
MTR-00404,False,
MTR-00405,False,
MTR-00406,False,
MTR-00407,False,
MTR-00408,False,
MTR-00409,False,
MTR-00410,False,
MTR-00411,False,
MTR-00412,False,
MTR-00413,False,
MTR-00414,False,
MTR-00415,False,
MTR-00416,False,
MTR-00417,False,
MTR-00418,False,
MTR-00419,False,
MTR-00420,False,
MTR-00421,False,
MTR-00422,False,
MTR-00423,False,
MTR-00424,False,
MTR-00425,False,
MTR-00426,False,
MTR-00427,False,
MTR-00428,False,
MTR-00429,False,
MTR-00430,False,
MTR-00431,False,
MTR-00432,False,
MTR-00433,False,
MTR-00434,False,
MTR-00435,False,
MTR-00436,False,
MTR-00437,False,
MTR-00438,False,
MTR-00439,False,
MTR-00440,False,
MTR-00441,True,2025-05-04
MTR-00442,False,
MTR-00443,False,
MTR-00444,False,
MTR-00445,False,
MTR-00446,True,2025-03-07
MTR-00447,True,2025-05-05
MTR-00448,False,
MTR-00449,False,
MTR-00450,False,
MTR-00451,False,
MTR-00452,False,
MTR-00453,False,
MTR-00454,True,2025-03-29
MTR-00455,False,
MTR-00456,False,
MTR-00457,False,
MTR-00458,False,
MTR-00459,False,
MTR-00460,False,
MTR-00461,False,
MTR-00462,False,
MTR-00463,False,
MTR-00464,False,
MTR-00465,True,2025-04-15
MTR-00466,False,
MTR-00467,False,
MTR-00468,False,
MTR-00469,True,2025-03-27
MTR-00470,False,
MTR-00471,False,
MTR-00472,True,2025-03-17
MTR-00473,False,
MTR-00474,False,
MTR-00475,False,
MTR-00476,True,2025-03-03
MTR-00477,False,
MTR-00478,True,2025-03-11
MTR-00479,False,
MTR-00480,False,
MTR-00481,False,
MTR-00482,False,
MTR-00483,False,
MTR-00484,False,
MTR-00485,True,2025-03-18
MTR-00486,False,
MTR-00487,False,
MTR-00488,False,
MTR-00489,False,
MTR-00490,False,
MTR-00491,False,
MTR-00492,False,
MTR-00493,False,
MTR-00494,False,
MTR-00495,False,
MTR-00496,False,
MTR-00497,False,
MTR-00498,False,
MTR-00499,False,
MTR-00500,False,
