meter_id,zone_id,drop_ratio,min_drop_ratio,total_alarms,anomaly_score,rule_flagged,ml_flagged,ensemble_flagged,is_fraud
MTR-00065,ZONE-05,0.4255159199661575,0.6103021793071612,8.0,0.22012838547789393,True,True,True,True
MTR-00143,ZONE-03,0.3173178426244204,0.4868137542066616,5.0,0.1688666153178482,True,True,True,True
MTR-00191,ZONE-07,0.5812783038725012,0.6594714970322507,1.0,0.1458621803308282,True,True,True,True
MTR-00100,ZONE-02,0.4113596467573318,0.4843175992780456,7.0,0.14527979932021906,True,True,True,True
MTR-00042,ZONE-08,0.25552983983327,0.5723020286908505,7.0,0.14344957645932488,True,True,True,True
MTR-00260,ZONE-06,0.2620166553033992,0.6509691243790787,5.0,0.1382091271243694,True,True,True,True
MTR-00189,ZONE-03,0.201886310509776,0.4777289524723616,5.0,0.13392956591625205,True,True,True,True
MTR-00469,ZONE-02,0.420201142370473,0.560045525974294,2.0,0.13010059845826194,True,True,True,True
MTR-00478,ZONE-01,0.4845941714961072,0.5468002766591775,5.0,0.13002573015702923,True,True,True,True
MTR-00092,ZONE-09,0.2806816314298695,0.4210434732171342,4.0,0.11420186891488515,True,True,True,True
MTR-00465,ZONE-01,0.2177354905207829,0.3769697629480445,2.0,0.10504608105359525,True,True,True,True
MTR-00447,ZONE-04,0.185181847747955,0.4327058721172311,4.0,0.09993977900645556,True,True,True,True
MTR-00024,ZONE-10,0.3552298626200645,0.4641775015544136,1.0,0.09864650638361039,False,True,True,True
MTR-00389,ZONE-09,0.4428025159030806,0.4970235968020258,5.0,0.09598822122224548,True,True,True,True
MTR-00053,ZONE-04,0.0924057780661126,0.3918495266097047,4.0,0.09460784500936892,True,True,True,True
MTR-00394,ZONE-06,0.1024926409165041,0.4671796241468862,4.0,0.09261200982647011,True,True,True,True
MTR-00198,ZONE-02,0.1550077365374695,0.4785819349803379,5.0,0.08714023865322362,True,True,True,True
MTR-00030,ZONE-05,0.3205176613289771,0.444443357559988,3.0,0.07561066312767184,True,True,True,True
MTR-00350,ZONE-02,0.4338602389472469,0.5922158688016359,3.0,0.07418520808444373,True,True,True,True
MTR-00049,ZONE-07,0.3921835004825648,0.5145728552845334,3.0,0.07018125432062172,True,True,True,True
MTR-00446,ZONE-07,0.3965592110525774,0.4495260079371428,4.0,0.06261291036245786,True,True,True,True
MTR-00057,ZONE-06,0.3521708440965599,0.5519081239213596,2.0,0.061656077195043846,False,True,True,True
MTR-00209,ZONE-03,0.2159011612302956,0.4136080956385488,3.0,0.06030041355381088,True,True,True,True
MTR-00235,ZONE-05,0.3058963598893766,0.6505109395521671,3.0,0.05975771440727662,True,True,True,True
MTR-00247,ZONE-08,0.337983903028121,0.4322233044976581,4.0,0.05813818007281846,True,True,True,True
MTR-00342,ZONE-03,0.1608572462969666,0.4080723539081139,3.0,0.05526886317199009,True,True,True,True
MTR-00159,ZONE-06,0.3500646323788632,0.5901132045908575,3.0,0.044519970167643086,True,True,True,True
MTR-00083,ZONE-02,0.4672197235975156,0.5172585077721326,2.0,0.04236272631054816,True,True,True,True
MTR-00414,ZONE-02,-0.0064599119161532,0.1221989059722605,2.0,0.040483905192920555,False,True,True,False
